Wellbore name;Year;Month;Oil;Gas
15/9-F-1 C;2014;4;11142;1597937
15/9-F-1 C;2014;5;24902;3496230
15/9-F-1 C;2014;6;19618;2886662
15/9-F-1 C;2014;7;15086;2249366
15/9-F-1 C;2014;8;6970;1048191
15/9-F-1 C;2014;9;9168;1414100
15/9-F-1 C;2014;10;9468;1462064
15/9-F-1 C;2014;11;6710;1044188
15/9-F-1 C;2014;12;120;25857
15/9-F-1 C;2015;1;10876;1604935
15/9-F-1 C;2015;2;9587;1439454
15/9-F-1 C;2015;3;5879;856681
15/9-F-1 C;2015;4;3924;566710
15/9-F-1 C;2015;5;3833;559060
15/9-F-1 C;2015;6;6345;925337
15/9-F-1 C;2015;7;2094;315179
15/9-F-1 C;2015;8;2871;427693
15/9-F-1 C;2015;9;6460;961548
15/9-F-1 C;2015;10;4086;631373
15/9-F-1 C;2015;11;3332;508384
15/9-F-1 C;2015;12;2949;454911
15/9-F-1 C;2016;1;2981;471676
15/9-F-1 C;2016;2;4718;742340
15/9-F-1 C;2016;3;2918;476830
15/9-F-1 C;2016;4;1672;274213
15/9-F-11;2013;7;3923;590505
15/9-F-11;2013;8;25496;3871942
15/9-F-11;2013;9;23775;3661574
15/9-F-11;2013;10;34115;5272724
15/9-F-11;2013;11;35386;5413486
15/9-F-11;2013;12;33406;5190659
15/9-F-11;2014;1;34552;5193353
15/9-F-11;2014;2;28190;4255283
15/9-F-11;2014;3;33291;5039850
15/9-F-11;2014;4;35429;5301959
15/9-F-11;2014;5;34832;4902619
15/9-F-11;2014;6;33899;4990685
15/9-F-11;2014;7;33760;5035917
15/9-F-11;2014;8;26038;4033770
15/9-F-11;2014;9;33222;5220329
15/9-F-11;2014;10;33852;5237208
15/9-F-11;2014;11;26612;4153116
15/9-F-11;2014;12;8548;1413112
15/9-F-11;2015;1;29562;4358979
15/9-F-11;2015;2;25347;3836074
15/9-F-11;2015;3;44316;6516700
15/9-F-11;2015;4;54556;7956467
15/9-F-11;2015;5;55029;8027510
15/9-F-11;2015;6;48231;7065852
15/9-F-11;2015;7;43785;6508853
15/9-F-11;2015;8;31498;4769902
15/9-F-11;2015;9;31425;4748110
15/9-F-11;2015;10;29725;4501570
15/9-F-11;2015;11;36410;5558573
15/9-F-11;2015;12;35934;5504665
15/9-F-11;2016;1;31603;4949941
15/9-F-11;2016;2;25955;4093287
15/9-F-11;2016;3;25024;4032038
15/9-F-11;2016;4;13429;2194427
15/9-F-11;2016;5;15529;2450714
15/9-F-11;2016;6;14591;2349131
15/9-F-11;2016;7;14385;2309447
15/9-F-11;2016;8;14584;2341372
15/9-F-11;2016;9;8609;1458816
15/9-F-12;2008;2;49091;7068009
15/9-F-12;2008;3;83361;12191171
15/9-F-12;2008;4;74532;11506441
15/9-F-12;2008;5;125479;19091872
15/9-F-12;2008;6;143787;21512334
15/9-F-12;2008;7;114995;17116442
15/9-F-12;2008;8;97822;14143008
15/9-F-12;2008;9;77667;11185944
15/9-F-12;2008;10;94357;13430834
15/9-F-12;2008;11;145916;20837122
15/9-F-12;2008;12;166440;24106362
15/9-F-12;2009;1;153677;22255224
15/9-F-12;2009;2;121905;17427052
15/9-F-12;2009;3;92959;13123547
15/9-F-12;2009;4;150956;20931108
15/9-F-12;2009;5;141039;19366853
15/9-F-12;2009;6;132430;17787476
15/9-F-12;2009;7;106105;14721967
15/9-F-12;2009;8;112414;15676350
15/9-F-12;2009;9;90099;12553422
15/9-F-12;2009;10;126940;17819694
15/9-F-12;2009;11;136016;19181584
15/9-F-12;2009;12;158002;22160862
15/9-F-12;2010;1;149659;21044604
15/9-F-12;2010;2;103026;14520590
15/9-F-12;2010;3;101572;14278519
15/9-F-12;2010;4;86254;12161146
15/9-F-12;2010;5;77114;10970381
15/9-F-12;2010;6;69617;9944534
15/9-F-12;2010;7;64040;9283377
15/9-F-12;2010;8;30117;4346504
15/9-F-12;2010;9;51313;7750211
15/9-F-12;2010;10;51431;7741377
15/9-F-12;2010;11;44468;6747078
15/9-F-12;2010;12;45218;6910660
15/9-F-12;2011;1;44747;6824001
15/9-F-12;2011;2;29157;4519227
15/9-F-12;2011;3;37395;5760219
15/9-F-12;2011;4;37820;5877461
15/9-F-12;2011;5;37205;5801740
15/9-F-12;2011;6;22026;3412026
15/9-F-12;2011;7;12462;1823751
15/9-F-12;2011;8;36380;5446517
15/9-F-12;2011;9;29999;4566407
15/9-F-12;2011;10;12648;1919664
15/9-F-12;2011;11;21789;3242434
15/9-F-12;2011;12;18090;2650493
15/9-F-12;2012;1;18218;2722573
15/9-F-12;2012;2;27362;4289925
15/9-F-12;2012;3;26680;4276186
15/9-F-12;2012;4;24088;3866150
15/9-F-12;2012;5;22415;3630958
15/9-F-12;2012;6;20887;3394646
