Wellbore name;Year;Month;Oil;Gas
15/9-F-1 C;2014;4;11.142;1.597.937
15/9-F-1 C;2014;5;24.902;3.496.230
15/9-F-1 C;2014;6;19.618;2.886.662
15/9-F-1 C;2014;7;15.086;2.249.366
15/9-F-1 C;2014;8;6.970;1.048.191
15/9-F-1 C;2014;9;9.168;1.414.100
15/9-F-1 C;2014;10;9.468;1.462.064
15/9-F-1 C;2014;11;6.710;1.044.188
15/9-F-1 C;2014;12;120;25.857
15/9-F-1 C;2015;1;10.876;1.604.935
15/9-F-1 C;2015;2;9.587;1.439.454
15/9-F-1 C;2015;3;5.879;856.681
15/9-F-1 C;2015;4;3.924;566.710
15/9-F-1 C;2015;5;3.833;559.060
15/9-F-1 C;2015;6;6.345;925.337
15/9-F-1 C;2015;7;2.094;315.179
15/9-F-1 C;2015;8;2.871;427.693
15/9-F-1 C;2015;9;6.460;961.548
15/9-F-1 C;2015;10;4.086;631.373
15/9-F-1 C;2015;11;3.332;508.384
15/9-F-1 C;2015;12;2.949;454.911
15/9-F-1 C;2016;1;2.981;471.676
15/9-F-1 C;2016;2;4.718;742.340
15/9-F-1 C;2016;3;2.918;476.830
15/9-F-1 C;2016;4;1.672;274.213
15/9-F-11;2013;7;3.923;590.505
15/9-F-11;2013;8;25.496;3.871.942
15/9-F-11;2013;9;23.775;3.661.574
15/9-F-11;2013;10;34.115;5.272.724
15/9-F-11;2013;11;35.386;5.413.486
15/9-F-11;2013;12;33.406;5.190.659
15/9-F-11;2014;1;34.552;5.193.353
15/9-F-11;2014;2;28.190;4.255.283
15/9-F-11;2014;3;33.291;5.039.850
15/9-F-11;2014;4;35.429;5.301.959
15/9-F-11;2014;5;34.832;4.902.619
15/9-F-11;2014;6;33.899;4.990.685
15/9-F-11;2014;7;33.760;5.035.917
15/9-F-11;2014;8;26.038;4.033.770
15/9-F-11;2014;9;33.222;5.220.329
15/9-F-11;2014;10;33.852;5.237.208
15/9-F-11;2014;11;26.612;4.153.116
15/9-F-11;2014;12;8.548;1.413.112
15/9-F-11;2015;1;29.562;4.358.979
15/9-F-11;2015;2;25.347;3.836.074
15/9-F-11;2015;3;44.316;6.516.700
15/9-F-11;2015;4;54.556;7.956.467
15/9-F-11;2015;5;55.029;8.027.510
15/9-F-11;2015;6;48.231;7.065.852
15/9-F-11;2015;7;43.785;6.508.853
15/9-F-11;2015;8;31.498;4.769.902
15/9-F-11;2015;9;31.425;4.748.110
15/9-F-11;2015;10;29.725;4.501.570
15/9-F-11;2015;11;36.410;5.558.573
15/9-F-11;2015;12;35.934;5.504.665
15/9-F-11;2016;1;31.603;4.949.941
15/9-F-11;2016;2;25.955;4.093.287
15/9-F-11;2016;3;25.024;4.032.038
15/9-F-11;2016;4;13.429;2.194.427
15/9-F-11;2016;5;15.529;2.450.714
15/9-F-11;2016;6;14.591;2.349.131
15/9-F-11;2016;7;14.385;2.309.447
15/9-F-11;2016;8;14.584;2.341.372
15/9-F-11;2016;9;8.609;1.458.816
15/9-F-12;2008;2;49.091;7.068.009
15/9-F-12;2008;3;83.361;12.191.171
15/9-F-12;2008;4;74.532;11.506.441
15/9-F-12;2008;5;125.479;19.091.872
15/9-F-12;2008;6;143.787;21.512.334
15/9-F-12;2008;7;114.995;17.116.442
15/9-F-12;2008;8;97.822;14.143.008
15/9-F-12;2008;9;77.667;11.185.944
15/9-F-12;2008;10;94.357;13.430.834
15/9-F-12;2008;11;145.916;20.837.122
15/9-F-12;2008;12;166.440;24.106.362
15/9-F-12;2009;1;153.677;22.255.224
15/9-F-12;2009;2;121.905;17.427.052
15/9-F-12;2009;3;92.959;13.123.547
15/9-F-12;2009;4;150.956;20.931.108
15/9-F-12;2009;5;141.039;19.366.853
15/9-F-12;2009;6;132.430;17.787.476
15/9-F-12;2009;7;106.105;14.721.967
15/9-F-12;2009;8;112.414;15.676.350
15/9-F-12;2009;9;90.099;12.553.422
15/9-F-12;2009;10;126.940;17.819.694
15/9-F-12;2009;11;136.016;19.181.584
15/9-F-12;2009;12;158.002;22.160.862
15/9-F-12;2010;1;149.659;21.044.604
15/9-F-12;2010;2;103.026;14.520.590
15/9-F-12;2010;3;101.572;14.278.519
15/9-F-12;2010;4;86.254;12.161.146
15/9-F-12;2010;5;77.114;10.970.381
15/9-F-12;2010;6;69.617;9.944.534
15/9-F-12;2010;7;64.040;9.283.377
15/9-F-12;2010;8;30.117;4.346.504
15/9-F-12;2010;9;51.313;7.750.211
15/9-F-12;2010;10;51.431;7.741.377
15/9-F-12;2010;11;44.468;6.747.078
15/9-F-12;2010;12;45.218;6.910.660
15/9-F-12;2011;1;44.747;6.824.001
15/9-F-12;2011;2;29.157;4.519.227
15/9-F-12;2011;3;37.395;5.760.219
